neighborhood,population,density,income
Allston / Brighton,75009,16855.96 ,47814
Back Bay,20531,32230.77 ,96639
Beacon Hill,11046,28916.23 ,88812
Charlestown,16439,12195.10 ,85952
Dorchester,114249,15689.23 ,46982
Downtown / Financial District,28000,25270.76 ,71817
East Boston,40517,7598.84 ,50513
Fenway / Kenmore / Audubon Circle / Longwood,38826,33327.04 ,31827
Hyde Park,32317,6490.66 ,62069
Jamaica Plain,35459,11508.93 ,81624
Mattapan,22500,8238.74 ,41229
Mission Hill,16874,26080.37 ,33232
Roslindale,26368,12616.27 ,64774
Roxbury,49111,14003.71 ,28628
South Boston / South Boston Waterfront,33674,11117.20 ,68721
South End,25703,33511.08 ,57984
West Roxbury,30445,5928.92 ,80175
