name,Building,Code_Enforcement,Environmental_Services,Housing
Allston / Brighton,262.2688,39.5975,499.0345,378.2782
Back Bay,505.0447,24.2186,335.7215,2496.3033
Beacon Hill,286.5212,23.6007,288.0078,383.8175
Charlestown,74.6275,28.2164,647.5019,262.0708
Dorchester,221.82,36.2535,403.3756,431.9758
Downtown / Financial District,336.0867,24.2442,1200.75,652.7179
East Boston,473.2945,27.4283,521.1263,454.5012
Fenway / Kenmore / Audubon Circle / Longwood,609.1058,35.0019,359.0492,514.46
Hyde Park,339.3728,38.4033,335.9153,1100.783
Jamaica Plain,452.5993,45.7895,558.0988,362.8981
Mattapan,447.0617,29.7653,647.5692,479.7821
Mission Hill,215.1408,24.3181,439.4446,443.9775
Roslindale,617.4462,39.2043,532.244,533.4538
Roxbury,314.5753,38.2068,635.2308,480.3103
South Boston / South Boston Waterfront,272.5233,37.1365,478.2425,526.6323
South End,504.6242,36.8597,743.8789,338.6363
West Roxbury,524.5921,40.1321,321.3578,469.3956
