name,Highway Maintenance,Recycling,Sanitation,Street Cleaning,Street Lights
Allston / Brighton,25.7422,120.4575,14.3264,2.7861,310.5797
Back Bay,44.0356,31.9745,15.546,6.0792,183.032
Beacon Hill,46.3617,19.546,14.6153,4.2338,242.6063
Charlestown,27.0814,21.9343,14.8,5.9549,192.6217
Dorchester,29.027,214.2767,13.7172,3.4003,147.3818
Downtown / Financial District,25.6033,42.1561,12.4014,5.6325,113.6536
East Boston,38.9808,290.9112,19.3949,4.4872,351.2031
Fenway / Kenmore / Audubon Circle / Longwood,21.1639,40.6417,5.9764,6.28,239.6172
Hyde Park,23.9049,64.7401,15.3128,5.0901,342.6193
Jamaica Plain,30.2133,93.3672,14.3911,3.9033,185.3469
Mattapan,24.6733,191.9178,13.9657,3.0556,171.6767
Mission Hill,20.152,165.9989,14.6575,4.4114,142.0001
Roslindale,24.892,45.6333,13.7561,3.5879,256.3237
Roxbury,25.1682,67.6828,13.5506,3.9933,120.7433
South Boston / South Boston Waterfront,43.8367,219.0184,17.2728,5.6003,248.2974
South End,39.6664,18.1896,13.9578,7.0342,116.3415
West Roxbury,43.8649,19.2928,13.9431,2.7542,315.1283
