name,Enforcement & Abandoned Vehicles,Signs & Signals
Allston / Brighton,136.2003,63.8672
Back Bay,6.9967,36.2306
Beacon Hill,8.73,51.1074
Charlestown,37.2958,68.0317
Dorchester,122.9493,91.229
Downtown / Financial District,6.1543,39.657
East Boston,34.6754,61.6039
Fenway / Kenmore / Audubon Circle / Longwood,5.865,39.5743
Hyde Park,174.3032,48.5289
Jamaica Plain,166.7132,65.4014
Mattapan,281.7439,48.4504
Mission Hill,19.3181,50.8696
Roslindale,72.4689,45.4899
Roxbury,165.3111,43.3897
South Boston / South Boston Waterfront,6.3092,52.9543
South End,5.545,73.3975
West Roxbury,88.4445,73.2175
