name,Building,Code_Enforcement,Environmental_Services,Housing
Allston / Brighton,0.3933,2.7801,1.3024,6.1336
Back Bay,0.3593,2.3503,1.6568,1.1268
Beacon Hill,0.4783,2.7764,2.2478,3.005
Charlestown,1.908,2.4916,1.063,9.9659
Dorchester,0.4761,2.8064,1.2671,5.7137
Downtown / Financial District,0.4593,2.7365,0.4835,1.6442
East Boston,0.2119,2.4615,1.1335,5.0513
Fenway / Kenmore / Audubon Circle / Longwood,0.3245,2.1871,1.0628,3.4595
Hyde Park,0.2818,2.8855,0.9714,2.3639
Jamaica Plain,0.2495,2.2853,0.8968,6.3136
Mattapan,0.2354,2.4492,0.8824,4.9809
Mission Hill,0.4955,2.2529,1.1426,5.3952
Roslindale,0.1833,2.6145,0.9855,4.5214
Roxbury,0.3067,2.1672,0.8581,5.0789
South Boston / South Boston Waterfront,0.4048,2.3037,1.3674,4.4605
South End,0.3037,2.2081,0.8633,7.1864
West Roxbury,0.1999,2.4372,1.416,4.898
