name,Highway Maintenance,Recycling,Sanitation,Street Cleaning,Street Lights
Allston / Brighton,2.6631,2.5625,6.1278,22.8024,1.5244
Back Bay,1.9947,3.7792,4.723,10.8844,1.889
Beacon Hill,1.9374,4.3573,5.2181,14.4992,1.5984
Charlestown,2.8005,4.784,7.5809,10.46,2.2357
Dorchester,2.5961,2.4203,7.0147,16.7856,2.3647
Downtown / Financial District,2.6567,4.1219,5.8189,12.2747,2.9666
East Boston,2.3786,1.8337,3.3247,13.23,1.1407
Fenway / Kenmore / Audubon Circle / Longwood,3.8022,4.2511,10.5366,12.372,1.6113
Hyde Park,2.4011,3.6729,5.5849,11.4389,1.1779
Jamaica Plain,2.9424,2.5239,5.0316,19.4251,2.0482
Mattapan,2.8309,2.4029,4.8636,17.075,1.727
Mission Hill,3.5471,3.5723,5.2224,18.1335,2.1223
Roslindale,3.2567,3.1745,7.5127,19.5236,1.7197
Roxbury,3.4064,3.9147,6.1187,16.432,2.1884
South Boston / South Boston Waterfront,2.2711,2.1918,5.3031,10.6129,2.3016
South End,2.8218,4.4979,4.9836,9.3095,2.4692
West Roxbury,2.3443,3.7047,5.4641,24.0406,1.3657
