name,Enforcement & Abandoned Vehicles,Signs & Signals
Allston / Brighton,3.9161,1.9935
Back Bay,14.6601,2.1566
Beacon Hill,11.1976,2.8579
Charlestown,3.49,2.0439
Dorchester,3.5301,1.7089
Downtown / Financial District,12.2829,1.8259
East Boston,4.9001,2.9048
Fenway / Kenmore / Audubon Circle / Longwood,14.2904,2.4455
Hyde Park,3.1912,3.1338
Jamaica Plain,3.1928,2.0506
Mattapan,2.3985,1.6059
Mission Hill,10.1164,1.7029
Roslindale,3.5898,1.8604
Roxbury,3.3411,1.6062
South Boston / South Boston Waterfront,12.8576,2.5542
South End,12.8857,2.8771
West Roxbury,3.887,1.7462
