name,Public Works Department,Boston Public School,Boston Water & Sewer Commission,Inspectional Services,Mayor's 24 Hour Hotline,Parks & Recreation Department,Property Management,Transportation - Traffic Division
Allston / Brighton,0.8737,0,NA,0.7196,0.7778,0.9921,0.9033,0.8342
Back Bay,0.7794,0,NA,0.7329,0.8571,0.9902,0.9323,0.8213
Beacon Hill,0.8215,NA,NA,0.8031,1,0.9661,0.8714,0.8059
Charlestown,0.8363,0,NA,0.8117,1,0.9882,0.8523,0.8286
Dorchester,0.9035,0.0833,NA,0.698,1,0.9694,0.917,0.8271
Downtown / Financial District,0.8275,0.125,NA,0.7057,0.6667,0.9655,0.8504,0.7896
East Boston,0.8523,0,NA,0.6891,0.8333,0.9849,0.8491,0.8766
Fenway / Kenmore / Audubon Circle / Longwood,0.8301,0,NA,0.6779,1,0.9722,0.9326,0.8184
Hyde Park,0.9078,0.2353,NA,0.6805,1,0.9722,0.6842,0.8262
Jamaica Plain,0.8893,0,0,0.7169,1,0.9944,0.8192,0.7997
Mattapan,0.8971,0,NA,0.6902,1,0.9858,0.6765,0.8185
Mission Hill,0.9219,0,NA,0.7522,1,0.9375,0.8398,0.8535
Roslindale,0.9089,0,NA,0.6747,0.6,0.9868,0.7738,0.8184
Roxbury,0.8966,0.0732,0,0.673,0.9333,0.9422,0.8917,0.8364
South Boston / South Boston Waterfront,0.8634,0,1,0.7234,0.9286,0.9721,0.8343,0.9011
South End,0.8568,0,NA,0.6975,1,0.993,0.875,0.8489
West Roxbury,0.9028,0,NA,0.6481,1,0.9885,0.6923,0.7808
