name,Building,Code_Enforcement,Environmental_Services,Housing
Allston / Brighton,0.3228,0.9649,0.5717,0.7371
Back Bay,0.349,0.9421,0.6279,0.5435
Beacon Hill,0.3727,0.9481,0.7059,0.6667
Charlestown,0.677,0.9469,0.5417,0.8889
Dorchester,0.2848,0.949,0.5896,0.773
Downtown / Financial District,0.375,0.9571,0.3317,0.5833
East Boston,0.2564,0.9528,0.5529,0.7703
Fenway / Kenmore / Audubon Circle / Longwood,0.3929,0.9922,0.5283,0.7167
Hyde Park,0.2882,0.9554,0.4754,0.6341
Jamaica Plain,0.3214,0.9455,0.4648,0.7696
Mattapan,0.2465,0.9301,0.469,0.7405
Mission Hill,0.3647,0.9619,0.525,0.7364
Roslindale,0.2234,0.9536,0.5,0.7907
Roxbury,0.2612,0.9298,0.474,0.7542
South Boston / South Boston Waterfront,0.3776,0.9574,0.5617,0.74
South End,0.3262,0.9434,0.4167,0.8
West Roxbury,0.2606,0.9643,0.5758,0.8043
