name,Highway Maintenance,Recycling,Sanitation,Street Cleaning,Street Lights
Allston / Brighton,0.8231,0.9567,0.9982,0.9717,0.5877
Back Bay,0.7644,0.9579,0.9955,0.9508,0.6054
Beacon Hill,0.7319,0.9444,1,0.9795,0.5928
Charlestown,0.7697,0.9565,0.9895,0.9712,0.6596
Dorchester,0.8529,0.9369,0.9952,0.9766,0.7155
Downtown / Financial District,0.7746,0.962,1,0.9486,0.7276
East Boston,0.787,0.9266,0.9478,0.9622,0.5455
Fenway / Kenmore / Audubon Circle / Longwood,0.8902,0.9688,1,0.9869,0.59
Hyde Park,0.8783,0.952,0.9956,0.9957,0.548
Jamaica Plain,0.8087,0.9112,0.9986,0.9502,0.7078
Mattapan,0.8711,0.9352,0.9953,0.9857,0.6449
Mission Hill,0.9086,0.9636,1,0.9735,0.7222
Roslindale,0.868,0.9625,1,0.9738,0.6531
Roxbury,0.855,0.9642,0.9957,0.9756,0.6751
South Boston / South Boston Waterfront,0.7351,0.918,0.9759,0.9603,0.6737
South End,0.7846,0.9416,1,0.9656,0.6946
West Roxbury,0.7857,0.9743,0.9985,0.9932,0.592
