name,Enforcement & Abandoned Vehicles,Signs & Signals
Allston / Brighton,0.9938,0.7767
Back Bay,0.9259,0.7797
Beacon Hill,1,0.7241
Charlestown,0.9651,0.7534
Dorchester,0.9801,0.6953
Downtown / Financial District,0.9091,0.7448
East Boston,0.9794,0.7985
Fenway / Kenmore / Audubon Circle / Longwood,1,0.7914
Hyde Park,0.9538,0.7459
Jamaica Plain,0.9663,0.7193
Mattapan,0.9843,0.7118
Mission Hill,0.98,0.7891
Roslindale,0.9932,0.7288
Roxbury,0.9787,0.7337
South Boston / South Boston Waterfront,0.976,0.8276
South End,0.9633,0.7677
West Roxbury,0.9492,0.7151
