neighborhood,population,density,income
Allston / Brighton,75009,16855.95506,47814
Back Bay,20531,32230.76923,96639
Beacon Hill,11046,28916.23037,88812
Charlestown,16439,12195.10386,85952
Dorchester,114249,15689.23373,46982
Downtown / Financial District,28000,25270.75812,71817
East Boston,40517,7598.837209,50513
Fenway / Kenmore / Audubon Circle / Longwood,38826,33327.03863,31827
Hyde Park,32317,6490.660775,62069
Jamaica Plain,35459,11508.92567,81624
Mattapan,22500,8238.740388,41229
Mission Hill,16874,26080.37094,33232
Roslindale,26368,12616.26794,64774
Roxbury,49111,14003.70687,28628
South Boston / South Boston Waterfront,33674,11117.2004,68721
South End,25703,33511.08214,57984
West Roxbury,30445,5928.919182,80175
