name,Highway Maintenance,Recycling,Sanitation,Street Cleaning,Street Lights
Allston / Brighton,633,485,571,459,439
Back Bay,713,95,222,325,631
Beacon Hill,373,54,330,390,415
Charlestown,521,230,287,208,379
Dorchester,877,1015,1466,1111,1100
Downtown / Financial District,1069,79,324,564,782
East Boston,324,545,364,423,330
Fenway / Kenmore / Audubon Circle / Longwood,337,32,80,153,261
Hyde Park,230,354,458,466,250
Jamaica Plain,460,563,691,522,462
Mattapan,256,247,424,421,321
Mission Hill,175,110,148,113,108
Roslindale,197,267,419,382,271
Roxbury,814,391,935,900,711
South Boston / South Boston Waterfront,672,646,705,629,472
South End,664,154,395,349,370
West Roxbury,434,350,667,440,250
